"gene_id" "Cu_deficient" "Cu_deficient_crr1" "Cu_deficient_crr12" "Cu_sufficient" "Fe_deficient_Min" "Fe_limited_Min" "Fe_repleted_Min" "H2O2_t0" "H2O2_t05" "H2O2_t1" "N_deprived" "N_repleted" "S_deprived" "S_deprived_ars11" "S_repleted" "S_repleted_ars11" "singlet_4A" "singlet_sor1" "TAP_recipe1" "TAP_recipe2"
"g182" 258.669 311.582 126.619 217.636 977.939 979.671 883.617 277.255 258.427 274.943 17.0907 168.916 255.935 64.2039 135.727 88.6321 69.5579 232.464 574.723 576.113
"Cre01.g007000" 9.32624 4.49476 5.40739 10.3492 19.3645 29.222 22.8759 15.3324 11.0432 8.4214 9.49723 4.21874 4.09248 3.42066 2.89204 2.61243 1.4852 1.86437 10.7694 10.4142
"Cre01.g007050" 7.12306 10.1875 11.65 8.54585 17.7832 36.4195 15.1776 9.23647 6.38723 7.15016 21.8225 11.2894 16.0661 10.6618 8.40026 4.67733 37.0009 25.9311 8.36683 8.51524
"g185" 1886.49 2903.24 1418.21 1874.18 4700.89 6022.39 5150.06 3281.11 2749.64 2667.51 1691.49 1482.17 2270.84 1697.18 2484.1 1736.12 4035.52 3433.17 4919.62 4924.88
"Cre01.g007150" 3.21671 4.50214 3.77395 3.62597 3.69709 2.80788 2.7424 2.36667 2.9956 3.44741 4.87793 3.94492 5.32501 12.8943 6.28249 7.23247 2.74457 5.75202 3.29863 5.28494
"Cre01.g007200" 14.732 9.55213 10.4066 17.923 9.77177 11.626 10.005 10.7574 10.6981 10.8615 10.2951 8.59626 14.9848 13.6725 10.0373 9.38078 10.693 10.7763 8.49165 10.818
"Cre01.g007450" 0.0194149 0.0584879 0.181806 0.0193225 0 0 0 0 0.0150907 0.0182837 4.49598 0.0326796 0.159988 0.0930542 0 0 0.0458039 0.0373858 0 0
"Cre01.g007550" 3.04364 4.41611 3.7704 2.5601 4.54713 4.31904 3.73199 2.29557 1.76287 2.10551 4.79464 4.06013 6.79922 3.57057 4.01531 5.37641 3.87244 6.65169 2.50799 2.03723
"g197" 7.90918 2.75484 4.87296 7.49342 2.71991 1.91133 2.56947 6.74734 6.62157 2.86482 3.22537 3.84243 2.16659 4.97258 5.89566 4.71629 0.860543 2.48447 4.59128 4.47504
"g199" 5.72369 6.62805 6.95253 4.56778 19.7387 30.1034 20.9717 7.53452 16.1129 18.6321 20.3612 17.8539 16.91 36.0559 8.63374 7.59296 23.6045 25.4078 7.95223 8.14984
"Cre01.g007901" 30.0251 16.7908 18.0411 32.5693 21.1802 20.8111 23.2985 28.7962 28.4415 35.2306 25.9839 19.5272 18.1407 29.9944 29.122 29.8345 36.3576 49.5178 17.3286 16.7962
"g206" 4.65482 5.18242 4.26918 4.61192 4.87293 4.44683 4.37382 2.51918 3.64968 5.15037 4.23597 4.20931 5.48392 2.77482 6.33484 7.16153 10.3835 6.56635 3.16833 3.4899
"Cre01.g008250" 0.0757967 1.00367 0.331984 0.157873 0.0382831 0.0441484 0.0534633 0.170531 0.470341 0.453428 4.35338 0.446909 0.0876921 0.0369802 0.189809 0.145283 0.0935946 0.104638 0.226371 0.418626
"Cre01.g008350" 4.62957 3.50259 1.45982 3.8506 2.503 2.47696 3.69364 3.84746 4.37552 5.44621 23.2782 0.933081 1.55618 1.972 0.796498 1.04875 0.27045 0.470877 2.41455 2.58085
"g213" 0.884227 0.334101 0.485574 0.688966 1.0759 0.669206 1.11734 0.492193 0.52665 0.484527 1.99712 0.532754 0.717456 3.43749 1.12983 2.50605 0.0663827 1.82204 0.0102806 0.237419
"Cre01.g008500" 6.61499 3.58372 4.86149 5.93158 2.83675 2.05693 2.91304 3.96581 4.04336 3.75899 2.37251 1.94247 5.63722 1.39724 6.08321 5.47419 3.07354 1.05286 3.29346 2.58719
"Cre01.g008550" 9.3622 6.91777 14.4087 12.9227 6.31103 6.80721 7.06048 12.2942 12.2874 8.43307 7.77231 25.1705 15.9814 8.45402 18.6664 24.4425 13.7639 6.04111 10.3624 10.5099
"Cre01.g008600" 1.81388 1.77008 2.26825 1.52133 1.44824 1.37223 1.32449 1.33318 0.586037 0.847059 2.36175 1.50823 1.95904 2.63508 2.36741 2.42662 1.25358 1.45242 1.04751 1.07517
"Cre01.g008650" 10.9868 3.16145 17.213 9.84478 20.7344 24.2892 24.3796 13.5625 11.683 12.9466 3.69266 2.71117 12.3351 6.62376 5.7035 2.38476 5.14765 6.07933 17.5316 17.5935
"Cre01.g008700" 4.27052 4.32458 2.61311 3.78582 2.64193 2.52891 3.64976 3.1539 1.73497 1.41195 2.13807 2.21589 4.13214 2.11703 3.51076 4.42617 8.09744 6.81109 2.45044 2.61601
"Cre01.g008800" 0.783748 5.3569 5.32155 0.750313 0.606005 0.956266 0.450864 1.59599 2.34015 1.97035 3.186 1.89163 3.2353 1.28273 2.03607 1.17238 2.58411 2.29012 1.57264 1.36149
"Cre01.g008891" 2.96616 2.50465 3.25145 2.01703 1.96383 0.973391 1.73864 1.68716 1.28939 1.98295 4.28025 5.26302 3.58029 2.13563 3.08555 3.35289 4.45663 3.94882 2.14197 2.30437
"g226" 0.332655 0.303244 0.302454 0.325513 0.233422 0.238661 0.218317 0.126337 0.143314 0.296263 0.136765 0.0862912 0.882432 1.22039 0.748873 1.21997 1.40479 1.79217 0.544494 0.645743
"Cre01.g009100" 8.02986 9.7476 5.48494 9.92432 13.1909 14.4525 18.7947 9.8041 6.18103 6.1193 7.48047 7.16751 2.40434 5.63166 3.52837 1.4275 0.0935285 8.77915 4.57532 4.62521
"Cre01.g009250" 2.43553 3.18194 5.63319 2.67602 1.24225 1.01163 0.961241 3.86398 2.51126 2.71449 0.27144 9.0553 1.99122 0.581945 7.26057 15.5649 0.0635168 0.120324 2.46748 2.71549
"Cre01.g009300" 14.4764 7.3845 8.65461 14.2 18.9217 18.9175 20.285 10.1792 12.329 11.822 14.7403 21.1638 16.6399 19.5546 13.4114 14.2687 20.1172 20.8724 16.6252 15.8776
"Cre01.g009400" 0.0122483 0.0190554 0 0.0226681 0.0551649 0.0989623 0.050761 0.00458431 0.00495498 0.0425045 13.7116 0.158389 0.0477728 0 0 0 0.0345366 0.157462 0 0.167073
"Cre01.g009450" 2.11181 1.86915 2.01817 2.39398 6.02999 5.12917 4.99934 2.46609 1.90457 1.95182 2.82755 2.35439 1.00865 2.23834 1.0968 0.706094 1.10667 2.39077 1.81668 1.13088
